Gene1,Gene2,score
WNT4,FGF9,0.007766683885236408
WT1pKTS,SRY,0.007355287540518576
GATA4,WNT4,0.007266754742829937
DHH,FGF9,0.007248174724599266
NR5A1,PGD2,0.007003420946461475
NR0B1,FGF9,0.00682714431699713
NR0B1,NR5A1,0.006792999608305941
NR5A1,DMRT1,0.006616250315592431
DKK1,SRY,0.006479293643459963
WNT4,RSPO1,0.006324884012335469
CBX2,SOX9,0.006159977782690285
WNT4,FOXL2,0.006156572362796722
UGR,DHH,0.005779763120759354
FOXL2,WNT4,0.005683019460302974
FOXL2,DMRT1,0.005593330814831515
CBX2,WNT4,0.005565137639554615
UGR,PGD2,0.005318835264346136
WNT4,GATA4,0.004823220249951243
NR5A1,WT1mKTS,0.004787721827674951
WNT4,UGR,0.004531853394879742
SRY,NR5A1,0.004513692326229821
WT1mKTS,DMRT1,0.0044595817642033575
DMRT1,NR0B1,0.004452954958477931
WT1pKTS,DHH,0.004390895050739335
WNT4,PGD2,0.004299476406700864
DKK1,FGF9,0.004293526203906092
SOX9,UGR,0.004139057072191074
SOX9,SRY,0.0038824245739842306
WT1mKTS,FGF9,0.003830998967803048
WT1mKTS,PGD2,0.0038281723160208947
DMRT1,DHH,0.0038166606689113425
SRY,RSPO1,0.0036382040568010143
FGF9,WT1mKTS,0.00362338552946298
SRY,GATA4,0.003580407882304834
GATA4,NR5A1,0.003522386173020156
PGD2,RSPO1,0.0031911383910708663
WT1pKTS,FOXL2,0.0029828839032007975
NR0B1,WNT4,0.0029211058772806997
DMRT1,UGR,0.0027542477398422305
RSPO1,PGD2,0.0027430201662161924
DKK1,CBX2,0.002724077285873025
CBX2,PGD2,0.002723607316401505
GATA4,PGD2,0.0026521874071290807
CTNNB1,NR5A1,0.002645552410068447
WT1pKTS,NR5A1,0.002574125757545759
WT1pKTS,CBX2,0.0023269676384105875
SRY,DMRT1,0.0023086268898657863
WT1mKTS,UGR,0.0022981877534009043
WNT4,DMRT1,0.00218716647943705
GATA4,DHH,0.002176968750059294
WT1mKTS,GATA4,0.0021750771383764467
DKK1,GATA4,0.0021686255989672165
SOX9,DMRT1,0.002029614966000709
WT1pKTS,NR0B1,0.001998524289996098
SOX9,AMH,0.001994665607892923
WT1pKTS,WT1mKTS,0.00196416104911927
FOXL2,PGD2,0.0019043323741503165
SOX9,GATA4,0.0018665226052815564
CTNNB1,FGF9,0.0018240994270913302
CBX2,NR5A1,0.001748398471034071
UGR,SOX9,0.0016431054427419461
FOXL2,RSPO1,0.0015702462611471568
GATA4,FOXL2,0.0014561723280476502
RSPO1,WT1mKTS,0.0014267868801794287
SRY,WT1pKTS,0.0013560335762915487
RSPO1,DKK1,0.0013105667920624564
NR0B1,SOX9,0.0011998755790755405
CTNNB1,CBX2,0.0010495787444942811
SRY,AMH,0.0010354707580389894
NR5A1,CBX2,0.0009297407022971355
NR0B1,GATA4,0.0008024067565279985
WNT4,DHH,0.0007299219423484299
GATA4,WT1pKTS,0.0006547136020590705
FGF9,WT1pKTS,0.0005995299677726829
DMRT1,CTNNB1,0.0005897271435872375
CBX2,WT1pKTS,0.0004407533891104959
NR5A1,FOXL2,0.0001362582144272817
NR0B1,FOXL2,6.322102616418412e-05
FOXL2,FGF9,9.891577818318953e-06
