Gene1,Gene2,score
WNT4,FOXL2,0.004007043269012425
SOX9,UGR,0.0040036097510643825
SOX9,SRY,0.003944224942713834
WT1mKTS,PGD2,0.003914528496030009
DMRT1,DHH,0.003912279695187107
FGF9,WT1mKTS,0.0037276202786965668
SRY,NR5A1,0.003640899133296821
SRY,GATA4,0.00359443583097728
SRY,RSPO1,0.0035090953974893507
GATA4,NR5A1,0.003310792806123994
WNT4,FGF9,0.0031172565170858035
PGD2,RSPO1,0.00303893443318011
NR0B1,WNT4,0.0028777162869345757
CBX2,PGD2,0.002794068968262925
DKK1,CBX2,0.00278146648005638
RSPO1,PGD2,0.0027481925933411505
DMRT1,UGR,0.0026579016311476106
GATA4,PGD2,0.0026252020905642437
WT1pKTS,NR5A1,0.0025800696216839725
CTNNB1,NR5A1,0.0025691915052038355
WT1mKTS,UGR,0.002382207590915536
WT1pKTS,CBX2,0.0023272326695898404
WT1mKTS,GATA4,0.002218538601577655
DKK1,GATA4,0.0022045292869120325
SRY,DMRT1,0.0021576409171673444
WNT4,DMRT1,0.0021190764906949405
GATA4,DHH,0.0021166025212388945
SOX9,AMH,0.0021133957846794227
SOX9,GATA4,0.002053818368110208
SOX9,DMRT1,0.0020375909579956747
FOXL2,PGD2,0.0019981955900633397
WT1pKTS,WT1mKTS,0.0019785744174490028
WT1pKTS,NR0B1,0.001954661794281415
UGR,SOX9,0.0017767601756756707
CBX2,NR5A1,0.0017219130369851426
FOXL2,RSPO1,0.0015831538731166245
SRY,WT1pKTS,0.0013997604223634497
RSPO1,WT1mKTS,0.0013110102940804141
RSPO1,DKK1,0.0012201904205059039
NR0B1,SOX9,0.001204164474356978
CTNNB1,CBX2,0.0010899349593226637
SRY,AMH,0.00104058691795407
NR5A1,CBX2,0.0008840977119574517
NR0B1,GATA4,0.0007616340645673209
WNT4,DHH,0.0006623164869040965
FGF9,WT1pKTS,0.0006517831378711758
DMRT1,CTNNB1,0.000597465576341813
GATA4,WT1pKTS,0.0004853654723351447
CBX2,WT1pKTS,0.0004565483982810481
NR5A1,FOXL2,7.562799809394949e-05
